,Location,Weather,Description,Temperature,Pressure,Humidity,Wind Speed,Datetime,Timezone
35,Blackpool,Clouds,broken clouds,286.89,1022,91,5.14,1717399982,3600
36,Bolton,Clouds,overcast clouds,287.41,1021,89,2.68,1717399982,3600
37,Ipswich,Clouds,broken clouds,288.25,1021,68,3.6,1717399984,3600
38,Telford,Clouds,overcast clouds,287.06,1023,85,5.73,1717399984,3600
39,York,Clouds,overcast clouds,287.73,1021,81,3.81,1717399984,3600
40,Gloucester,Clouds,few clouds,289.55,1022,77,1.03,1717399985,3600
41,Exeter,Clouds,scattered clouds,288.93,1023,82,1.54,1717399985,3600
42,Cambridge,Clouds,broken clouds,288.22,1023,81,2.57,1717399985,3600
43,Darwen,Clouds,overcast clouds,286.77,1022,90,1.79,1717399589,3600
44,Chelmsford,Clouds,overcast clouds,288.36,1022,82,3.51,1717399986,3600
45,Crawley,Clouds,few clouds,288.04,1022,71,2.06,1717399986,3600
46,Maidstone,Clouds,overcast clouds,288.93,1020,61,1.79,1717399986,3600
47,Peterborough,Clear,clear sky,288.59,1021,77,4.63,1717399685,3600
48,Basingstoke,Clouds,broken clouds,287.44,1023,84,3.6,1717399417,3600
49,Worcester,Clouds,overcast clouds,289.32,1023,84,2.62,1717399987,3600
50,Newcastle upon Tyne,Clouds,few clouds,288.16,1020,81,7.72,1717399987,3600
51,Bath,Clouds,overcast clouds,289.23,1023,79,1.25,1717399987,3600
52,Lincoln,Clouds,broken clouds,287.98,1021,84,3.6,1717399987,3600
53,Chichester,Clouds,overcast clouds,288.97,1024,80,1.34,1717399987,3600
54,Ely,Clouds,broken clouds,288.05,1022,41,3.6,1717399988,3600
55,Hereford,Clouds,overcast clouds,289.09,1023,87,1.48,1717399989,3600
56,Ripon,Clouds,few clouds,287.61,1021,85,4.12,1717399989,3600
57,Salisbury,Clouds,broken clouds,288.35,1023,81,3.6,1717399989,3600
58,Winchester,Clear,clear sky,288.44,1021,77,4.63,1717399989,3600
59,Edinburgh,Clouds,broken clouds,286.44,1019,84,5.66,1717399974,3600
60,Glasgow City,Clouds,overcast clouds,286.35,1021,85,4.12,1717399688,3600
61,Aberdeen,Clear,clear sky,289.8,1017,61,4.12,1717399743,3600
62,Newport-on-Tay,Clouds,few clouds,288.24,1018,78,7.72,1717399990,3600
63,Inverness,Clouds,few clouds,287.87,1018,61,6.69,1717399990,3600
64,Stirling,Clouds,few clouds,287.37,1019,69,4.38,1717399991,3600
65,Perth,Clear,clear sky,288.57,1018,72,2.24,1717399991,3600
66,Cardiff,Clouds,broken clouds,289.39,1023,79,3.6,1717399991,3600
67,Swansea,Clouds,overcast clouds,288.57,1024,82,0.45,1717399950,3600
68,City of Newport,Clouds,overcast clouds,289.86,1023,77,1.01,1717399991,3600
69,Bangor,Clouds,overcast clouds,286.47,1024,41,3.6,1717399992,3600
70,St Asaph,Clouds,overcast clouds,286.51,1023,95,0.89,1717399992,3600
71,St Davids,Clouds,overcast clouds,288.72,1025,93,3.93,1717399992,3600
72,Wrexham,Drizzle,light intensity drizzle,286.84,1023,93,4.12,1717399992,3600
73,Belfast,Clouds,broken clouds,287.11,1023,84,4.63,1717399486,3600
